vessel,carrier,voyage No.,service,POD,ETA,Berthing,Updatetime
 NEW MINGZHOU 68,OOC, 2118E / 2118E, PCHN,YOK,NA, 2021/07/08 19:24,2021/7/22 19:07
 OOCL DALIAN,OOC, 661N / 662S, KTX6,YOK,NA, 2021/07/09 19:40,2021/7/22 19:07
 OOCL SHANGHAI,OOC, 060N / 061S, A3N,YOK,NA, 2021/07/11 18:40,2021/7/22 19:07
 OOCL HO CHI MINH CITY,OOC, 050W / 050W, TLP1,YOK,NA, 2021/07/11 20:20,2021/7/22 19:07
 NEW MINGZHOU 28,OOC, 2118E / 2118E, PCHN,YOK,NA, 2021/07/12 11:54,2021/7/22 19:07
 CAIYUNHE,OOC, 1783N / 1784S, JCV,YOK,NA, 2021/07/14 01:15,2021/7/22 19:07
 MILD JAZZ,OOC, 2128S / 2128S, PJPN,YOK,NA, 2021/07/16 07:18,2021/7/22 19:07
 OOCL LE HAVRE,OOC, 145N / 146S, KTX2,YOK,NA, 2021/07/17 07:55,2021/7/22 19:07
 KETA,OOC, 037N / 038S, KTX1,YOK,NA, 2021/07/18 08:05,2021/7/22 19:07
 SEASPAN EMERALD,OOC, 253N / 254S, KTX5,YOK,NA, 2021/07/12 19:05,2021/7/22 19:07
 BUXMELODY,OOC, 159N / 160S, KTX1,YOK,NA, 2021/07/14 08:10,2021/7/22 19:07
 CMA CGM CHENNAI,OOC, 434W / 434W, TLP2,YOK,NA, 2021/07/15 06:10,2021/7/22 19:07
 FEI YUN HE,OOC, 408E / 408E, PCOS,YOK,NA, 2021/07/16 19:05,2021/7/22 19:07
 CMA CGM CHOPIN,OOC, 117N / 118S, A3N,YOK,NA, 2021/07/17 17:20,2021/7/22 19:07
 COSCO NEW YORK,OOC, 114W / 114W, TLP1,YOK,NA, 2021/07/18 18:15,2021/7/22 19:07
 LANTAU BRIDE,OOC, 140E / 140E, PCOS,YOK,NA, 2021/07/15 07:00,2021/7/22 19:07
 NEW MINGZHOU 16,OOC, 2119E / 2119E, PCHN,YOK,NA, 2021/07/17 20:00,2021/7/22 19:08
 NEW MINGZHOU 28,OOC, 2118E / 2118E, PCHN,YOK,NA, 2021/07/12 11:54,2021/7/22 19:08
 CAIYUNHE,OOC, 1783N / 1784S, JCV,YOK,NA, 2021/07/14 01:15,2021/7/22 19:08
 MILD JAZZ,OOC, 2128S / 2128S, PJPN,YOK,NA, 2021/07/16 07:18,2021/7/22 19:08
 OOCL LE HAVRE,OOC, 145N / 146S, KTX2,YOK,NA, 2021/07/17 07:55,2021/7/22 19:08
 KETA,OOC, 037N / 038S, KTX1,YOK,NA, 2021/07/18 08:05,2021/7/22 19:08
 SEASPAN EMERALD,OOC, 253N / 254S, KTX5,YOK,NA, 2021/07/12 19:05,2021/7/22 19:08
 BUXMELODY,OOC, 159N / 160S, KTX1,YOK,NA, 2021/07/14 08:10,2021/7/22 19:08
 CMA CGM CHENNAI,OOC, 434W / 434W, TLP2,YOK,NA, 2021/07/15 06:10,2021/7/22 19:08
 FEI YUN HE,OOC, 408E / 408E, PCOS,YOK,NA, 2021/07/16 19:05,2021/7/22 19:08
 CMA CGM CHOPIN,OOC, 117N / 118S, A3N,YOK,NA, 2021/07/17 17:20,2021/7/22 19:08
 COSCO NEW YORK,OOC, 114W / 114W, TLP1,YOK,NA, 2021/07/18 18:15,2021/7/22 19:08
 LANTAU BRIDE,OOC, 140E / 140E, PCOS,YOK,NA, 2021/07/15 07:00,2021/7/22 19:08
 NEW MINGZHOU 16,OOC, 2119E / 2119E, PCHN,YOK,NA, 2021/07/17 20:00,2021/7/22 19:08
 WAN HAI 510,OOC, N142 / S143, KTX6,YOK,NA, 2021/07/20 19:00,2021/7/22 19:08
 NEW MINGZHOU 66,OOC, 2120E / 2120E, PCHN,YOK,NA, 2021/07/21 10:10,2021/7/22 19:08
 CMA CGM TUTICORIN,OOC, 024W / 024W, TLP2,YOK,NA, 2021/07/22 06:20,2021/7/22 19:08
 LANTAU BRIDE,OOC, 142E / 142E, PCOS,YOK,NA, 2021/07/23 17:30,2021/7/22 19:08
 MILD SONATA,OOC, 2129S / 2129S, PJPN,YOK,NA, 2021/07/24 10:30,2021/7/22 19:08
 CAPE FORBY,OOC, 1785N / 1786S, JCV,YOK,NA, 2021/07/25,2021/7/22 19:08
 SEASPAN EMINENCE,OOC, 117N / 118S, KTX5,YOK,NA, 2021/07/21 13:00,2021/7/22 19:08
 FENGYUNHE,OOC, 1785N / 1786S, JCV,YOK,NA, 2021/07/21 18:25,2021/7/22 19:08
 WAN HAI 510,OOC, N142 / S143, KTX6,YOK,NA, 2021/07/20 19:00,2021/7/22 19:08
 NEW MINGZHOU 66,OOC, 2120E / 2120E, PCHN,YOK,NA, 2021/07/21 10:10,2021/7/22 19:08
 CMA CGM TUTICORIN,OOC, 024W / 024W, TLP2,YOK,NA, 2021/07/22 06:20,2021/7/22 19:08
 LANTAU BRIDE,OOC, 142E / 142E, PCOS,YOK,NA, 2021/07/23 17:30,2021/7/22 19:08
 MILD SONATA,OOC, 2129S / 2129S, PJPN,YOK,NA, 2021/07/24 10:30,2021/7/22 19:08
 CAPE FORBY,OOC, 1785N / 1786S, JCV,YOK,NA, 2021/07/25,2021/7/22 19:08
 SEASPAN EMINENCE,OOC, 117N / 118S, KTX5,YOK,NA, 2021/07/21 13:00,2021/7/22 19:08
 FENGYUNHE,OOC, 1785N / 1786S, JCV,YOK,NA, 2021/07/21 18:25,2021/7/22 19:08
 BLANDINE,OOC, 105N / 106S, KTX5,YOK,NA, 2021/07/26 07:45,2021/7/22 19:08
 NEW MINGZHOU 68,OOC, 2120E / 2120E, PCHN,YOK,NA, 2021/07/27 20:15,2021/7/22 19:08
 WAN HAI 506,OOC, N196 / S197, KTX6,YOK,NA, 2021/07/28,2021/7/22 19:08
 CMA CGM NIAGARA,OOC, 021W / 021W, TLP2,YOK,NA, 2021/07/29,2021/7/22 19:08
 E.R. DENMARK,OOC, 117N / 118S, A3N,YOK,NA, 2021/07/30,2021/7/22 19:08
 CAIYUNHE,OOC, 1785N / 1786S, JCV,YOK,NA, 2021/07/31,2021/7/22 19:09
 SEASPAN OCEANIA,OOC, 024W / 024W, TLP1,YOK,NA, 2021/08/01,2021/7/22 19:09
 OOCL NAGOYA,OOC, 153N / 154S, KTX2,YOK,NA, 2021/07/28 22:30,2021/7/22 19:09
 NEW MINGZHOU 16,OOC, 2120E / 2120E, PCHN,YOK,NA, 2021/07/29 08:30,2021/7/22 19:09
 YM CONTINENT,OOC, 021N / 021N, JMV,YOK,NA, 2021/07/30 08:00,2021/7/22 19:09
 OOCL CHARLESTON,OOC, 202N / 203S, KTX2,YOK,NA, 2021/07/29 19:00,2021/7/22 19:09
 SPECTRUM N,OOC, 015N / 016S, KTX2,YOK,NA, 2021/07/30 08:00,2021/7/22 19:09
 CAPE ORIENT,OOC, 104N / 105S, KTX1,YOK,NA, 2021/07/29 22:00,2021/7/22 19:09
 BLANDINE,OOC, 105N / 106S, KTX5,YOK,NA, 2021/07/26 07:45,2021/7/22 19:09
 NEW MINGZHOU 68,OOC, 2120E / 2120E, PCHN,YOK,NA, 2021/07/27 20:15,2021/7/22 19:09
 WAN HAI 506,OOC, N196 / S197, KTX6,YOK,NA, 2021/07/28,2021/7/22 19:09
 CMA CGM NIAGARA,OOC, 021W / 021W, TLP2,YOK,NA, 2021/07/29,2021/7/22 19:09
 E.R. DENMARK,OOC, 117N / 118S, A3N,YOK,NA, 2021/07/30,2021/7/22 19:09
 CAIYUNHE,OOC, 1785N / 1786S, JCV,YOK,NA, 2021/07/31,2021/7/22 19:09
 SEASPAN OCEANIA,OOC, 024W / 024W, TLP1,YOK,NA, 2021/08/01,2021/7/22 19:09
 OOCL NAGOYA,OOC, 153N / 154S, KTX2,YOK,NA, 2021/07/28 22:30,2021/7/22 19:09
 NEW MINGZHOU 16,OOC, 2120E / 2120E, PCHN,YOK,NA, 2021/07/29 08:30,2021/7/22 19:09
 YM CONTINENT,OOC, 021N / 021N, JMV,YOK,NA, 2021/07/30 08:00,2021/7/22 19:09
 OOCL CHARLESTON,OOC, 202N / 203S, KTX2,YOK,NA, 2021/07/29 19:00,2021/7/22 19:09
 SPECTRUM N,OOC, 015N / 016S, KTX2,YOK,NA, 2021/07/30 08:00,2021/7/22 19:09
 CAPE ORIENT,OOC, 104N / 105S, KTX1,YOK,NA, 2021/07/29 22:00,2021/7/22 19:09
 WAN HAI 501,OOC, N214 / S215, KTX6,YOK,NA, 2021/08/02,2021/7/22 19:09
 CMA CGM GANGES,OOC, 029W / 029W, TLP2,YOK,NA, 2021/08/05,2021/7/22 19:09
 OOCL DALIAN,OOC, 662N / 663S, KTX6,YOK,NA, 2021/08/06,2021/7/22 19:09
 THORSTAR,OOC, 010N / 010N, JMV,YOK,NA, 2021/08/08,2021/7/22 19:09
 DELAWARE TRADER,OOC, 032N / 033S, KTX1,YOK,NA, 2021/08/05,2021/7/22 19:09
 OOCL LE HAVRE,OOC, 146N / 147S, KTX2,YOK,NA, 2021/08/06 08:00,2021/7/22 19:09
 E.R.SWEDEN,OOC, 118N / 119S, A3N,YOK,NA, 2021/08/08,2021/7/22 19:09
 FENGYUNHE,OOC, 1787N / 1788S, JCV,YOK,NA, 2021/08/05,2021/7/22 19:09
 NYK DEMETER,OOC, 096N / 097S, KTX5,YOK,NA, 2021/08/06 19:00,2021/7/22 19:09
 SEASPAN HUDSON,OOC, 010W / 010W, TLP1,YOK,NA, 2021/08/08,2021/7/22 19:09
 NEW MINGZHOU 16,OOC, 2118E / 2118E, PCHN,NGO,NA, 2021/07/06 19:15,2021/7/22 19:09
 OOCL DALIAN,OOC, 661N / 662S, KTX6,NGO,NA, 2021/07/08 08:10,2021/7/22 19:09
 DELAWARE TRADER,OOC, 031N / 032S, KTX1,NGO,NA, 2021/07/09 03:20,2021/7/22 19:10
 NEW MINGZHOU 66,OOC, 2119E / 2119E, PCHN,NGO,NA, 2021/07/10 00:05,2021/7/22 19:10
 NYK DEMETER,OOC, 095N / 096S, KTX5,NGO,NA, 2021/07/11 08:00,2021/7/22 19:10
 NYK DIANA,OOC, 096N / 097S, KTX5,NGO,NA, 2021/07/06 20:55,2021/7/22 19:10
 JJ TOKYO,OOC, 2127W / 2127W, PJPN,NGO,NA, 2021/07/07 07:25,2021/7/22 19:10
 THORSTAR,OOC, 009N / 009N, JMV,NGO,NA, 2021/07/09 07:50,2021/7/22 19:10
 KMTC YOKOHAMA,OOC, 005N / 005N, JMV,NGO,NA, 2021/07/10 09:05,2021/7/22 19:10
 NYK VIRGO,OOC, 070W / 070W, JPX,NGO,NA, 2021/07/11 20:35,2021/7/22 19:10
 NEW MINGZHOU 68,OOC, 2118E / 2118E, PCHN,NGO,NA, 2021/07/07 14:55,2021/7/22 19:10
 OOCL CHARLESTON,OOC, 201N / 202S, KTX2,NGO,NA, 2021/07/09 19:00,2021/7/22 19:10
 BUXMELODY,OOC, 159N / 160S, KTX1,NGO,NA, 2021/07/13 08:05,2021/7/22 19:10
 JJ TOKYO,OOC, 2128W / 2128W, PJPN,NGO,NA, 2021/07/14 08:50,2021/7/22 19:10
 CAIYUNHE,OOC, 1783N / 1784S, JCV,NGO,NA, 2021/07/15 07:50,2021/7/22 19:10
 VELA,OOC, 257N / 258S, KTX3,NGO,NA, 2021/07/18 20:55,2021/7/22 19:10
 OOCL JAKARTA,OOC, 133N / 134S, KTX3,NGO,NA, 2021/07/14 14:35,2021/7/22 19:10
 NEW MINGZHOU 16,OOC, 2119E / 2119E, PCHN,NGO,NA, 2021/07/16 07:55,2021/7/22 19:10
 ONE HUMBER,OOC, 087E / 087E, JPX,NGO,NA, 2021/07/14 19:35,2021/7/22 19:10
 SEASPAN EMERALD,OOC, 253N / 254S, KTX5,NGO,NA, 2021/07/14 21:25,2021/7/22 19:10
 BUXMELODY,OOC, 159N / 160S, KTX1,NGO,NA, 2021/07/13 08:05,2021/7/22 19:10
 JJ TOKYO,OOC, 2128W / 2128W, PJPN,NGO,NA, 2021/07/14 08:50,2021/7/22 19:10
 CAIYUNHE,OOC, 1783N / 1784S, JCV,NGO,NA, 2021/07/15 07:50,2021/7/22 19:10
 VELA,OOC, 257N / 258S, KTX3,NGO,NA, 2021/07/18 20:55,2021/7/22 19:10
 OOCL JAKARTA,OOC, 133N / 134S, KTX3,NGO,NA, 2021/07/14 14:35,2021/7/22 19:10
 NEW MINGZHOU 16,OOC, 2119E / 2119E, PCHN,NGO,NA, 2021/07/16 07:55,2021/7/22 19:10
 ONE HUMBER,OOC, 087E / 087E, JPX,NGO,NA, 2021/07/14 19:35,2021/7/22 19:10
 SEASPAN EMERALD,OOC, 253N / 254S, KTX5,NGO,NA, 2021/07/14 21:25,2021/7/22 19:10
 KETA,OOC, 037N / 038S, KTX1,NGO,NA, 2021/07/19 11:00,2021/7/22 19:10
 NEW MINGZHOU 66,OOC, 2120E / 2120E, PCHN,NGO,NA, 2021/07/20 12:15,2021/7/22 19:10
 FENGYUNHE,OOC, 1785N / 1786S, JCV,NGO,NA, 2021/07/22 13:50,2021/7/22 19:10
 SEASPAN EMINENCE,OOC, 117N / 118S, KTX5,NGO,NA, 2021/07/24 13:30,2021/7/22 19:10
 NYK VENUS,OOC, 068W / 068W, JPX,NGO,NA, 2021/07/25 07:00,2021/7/22 19:10
 WAN HAI 510,OOC, N142 / S143, KTX6,NGO,NA, 2021/07/19 11:50,2021/7/22 19:10
 OOCL LE HAVRE,OOC, 145N / 146S, KTX2,NGO,NA, 2021/07/19 18:50,2021/7/22 19:11
 KETA,OOC, 037N / 038S, KTX1,NGO,NA, 2021/07/19 11:00,2021/7/22 19:11
 NEW MINGZHOU 66,OOC, 2120E / 2120E, PCHN,NGO,NA, 2021/07/20 12:15,2021/7/22 19:11
 FENGYUNHE,OOC, 1785N / 1786S, JCV,NGO,NA, 2021/07/22 13:50,2021/7/22 19:11
 SEASPAN EMINENCE,OOC, 117N / 118S, KTX5,NGO,NA, 2021/07/24 13:30,2021/7/22 19:11
 NYK VENUS,OOC, 068W / 068W, JPX,NGO,NA, 2021/07/25 07:00,2021/7/22 19:11
 WAN HAI 510,OOC, N142 / S143, KTX6,NGO,NA, 2021/07/19 11:50,2021/7/22 19:11
 OOCL LE HAVRE,OOC, 145N / 146S, KTX2,NGO,NA, 2021/07/19 18:50,2021/7/22 19:11
 CAPE FORBY,OOC, 1785N / 1786S, JCV,NGO,NA, 2021/07/26,2021/7/22 19:11
 WAN HAI 506,OOC, N196 / S197, KTX6,NGO,NA, 2021/07/27,2021/7/22 19:11
 BLANDINE,OOC, 105N / 106S, KTX5,NGO,NA, 2021/07/28 02:00,2021/7/22 19:11
 OOCL NAGOYA,OOC, 153N / 154S, KTX2,NGO,NA, 2021/07/30 00:30,2021/7/22 19:11
 SPECTRUM N,OOC, 015N / 016S, KTX2,NGO,NA, 2021/07/31 08:00,2021/7/22 19:11
 ONE HANNOVER,OOC, 085E / 085E, JPX,NGO,NA, 2021/08/01 19:30,2021/7/22 19:11
 NEW MINGZHOU 68,OOC, 2120E / 2120E, PCHN,NGO,NA, 2021/07/26 08:00,2021/7/22 19:11
 ONE HARBOUR,OOC, 088E / 088E, JPX,NGO,NA, 2021/07/27 19:00,2021/7/22 19:11
 NEW MINGZHOU 16,OOC, 2120E / 2120E, PCHN,NGO,NA, 2021/07/28 13:30,2021/7/22 19:11
 YM CONTINENT,OOC, 021N / 021N, JMV,NGO,NA, 2021/07/29 08:00,2021/7/22 19:11
 ONE HANOI,OOC, 040W / 040W, JPX,NGO,NA, 2021/07/30 08:00,2021/7/22 19:11
 OOCL CHARLESTON,OOC, 202N / 203S, KTX2,NGO,NA, 2021/07/30 12:00,2021/7/22 19:11
 CAPE ORIENT,OOC, 104N / 105S, KTX1,NGO,NA, 2021/07/30 20:30,2021/7/22 19:11
 OOCL NEW ZEALAND,OOC, 102N / 103S, KTX3,NGO,NA, 2021/07/30 22:00,2021/7/22 19:11
 CAPE FORBY,OOC, 1785N / 1786S, JCV,NGO,NA, 2021/07/26,2021/7/22 19:11
 WAN HAI 506,OOC, N196 / S197, KTX6,NGO,NA, 2021/07/27,2021/7/22 19:11
 BLANDINE,OOC, 105N / 106S, KTX5,NGO,NA, 2021/07/28 02:00,2021/7/22 19:11
 OOCL NAGOYA,OOC, 153N / 154S, KTX2,NGO,NA, 2021/07/30 00:30,2021/7/22 19:11
 SPECTRUM N,OOC, 015N / 016S, KTX2,NGO,NA, 2021/07/31 08:00,2021/7/22 19:11
 ONE HANNOVER,OOC, 085E / 085E, JPX,NGO,NA, 2021/08/01 19:30,2021/7/22 19:11
 NEW MINGZHOU 68,OOC, 2120E / 2120E, PCHN,NGO,NA, 2021/07/26 08:00,2021/7/22 19:11
 ONE HARBOUR,OOC, 088E / 088E, JPX,NGO,NA, 2021/07/27 19:00,2021/7/22 19:11
 NEW MINGZHOU 16,OOC, 2120E / 2120E, PCHN,NGO,NA, 2021/07/28 13:30,2021/7/22 19:11
 YM CONTINENT,OOC, 021N / 021N, JMV,NGO,NA, 2021/07/29 08:00,2021/7/22 19:11
 ONE HANOI,OOC, 040W / 040W, JPX,NGO,NA, 2021/07/30 08:00,2021/7/22 19:11
 OOCL CHARLESTON,OOC, 202N / 203S, KTX2,NGO,NA, 2021/07/30 12:00,2021/7/22 19:11
 CAPE ORIENT,OOC, 104N / 105S, KTX1,NGO,NA, 2021/07/30 20:30,2021/7/22 19:12
 OOCL NEW ZEALAND,OOC, 102N / 103S, KTX3,NGO,NA, 2021/07/30 22:00,2021/7/22 19:12
 CAIYUNHE,OOC, 1785N / 1786S, JCV,NGO,NA, 2021/08/02,2021/7/22 19:12
 OOCL AUSTRALIA,OOC, 210N / 211S, KTX3,NGO,NA, 2021/08/03 10:00,2021/7/22 19:12
 OOCL DALIAN,OOC, 662N / 663S, KTX6,NGO,NA, 2021/08/05,2021/7/22 19:12
 FENGYUNHE,OOC, 1787N / 1788S, JCV,NGO,NA, 2021/08/06,2021/7/22 19:12
 THORSTAR,OOC, 010N / 010N, JMV,NGO,NA, 2021/08/07,2021/7/22 19:12
 NYK DEMETER,OOC, 096N / 097S, KTX5,NGO,NA, 2021/08/08 08:00,2021/7/22 19:12
 DELAWARE TRADER,OOC, 032N / 033S, KTX1,NGO,NA, 2021/08/06,2021/7/22 19:12
 OOCL LE HAVRE,OOC, 146N / 147S, KTX2,NGO,NA, 2021/08/07 08:00,2021/7/22 19:12
 NEW MINGZHOU 68,OOC, 2118E / 2118E, PCHN,OSA,NA, 2021/07/06 08:50,2021/7/22 19:12
 THORSTAR,OOC, 009N / 009N, JMV,OSA,NA, 2021/07/07 13:49,2021/7/22 19:12
 XIN MING ZHOU 18,OOC, 2107E / 2107E, PCHN,OSA,NA, 2021/07/08 07:47,2021/7/22 19:12
 EVER ENVOY,OOC, 0321-169W / 0321-169W, PNW3,OSA,NA, 2021/07/10 07:44,2021/7/22 19:12
 BUXMELODY,OOC, 159N / 160S, KTX1,OSA,NA, 2021/07/11 21:24,2021/7/22 19:12
 XIN DA LIAN,OOC, 138N / 139S, A3N,OSA,NA, 2021/07/07 15:52,2021/7/22 19:12
 KMTC YOKOHAMA,OOC, 005N / 005N, JMV,OSA,NA, 2021/07/08 08:50,2021/7/22 19:12
 DELAWARE TRADER,OOC, 031N / 032S, KTX1,OSA,NA, 2021/07/10 18:31,2021/7/22 19:12
 OOCL DALIAN,OOC, 661N / 662S, KTX6,OSA,NA, 2021/07/05 12:45,2021/7/22 19:12
 OOCL CHARLESTON,OOC, 201N / 202S, KTX2,OSA,NA, 2021/07/05 17:28,2021/7/22 19:12
 GLORY TIANJIN,OOC, 2128S / 2128S, PJPN,OSA,NA, 2021/07/13 07:10,2021/7/22 19:12
 OOCL LE HAVRE,OOC, 145N / 146S, KTX2,OSA,NA, 2021/07/15 17:28,2021/7/22 19:12
 WAN HAI 510,OOC, N142 / S143, KTX6,OSA,NA, 2021/07/16 18:55,2021/7/22 19:12
 EVER UNIFIC,OOC, 0319-159W / 0319-159W, PNW3,OSA,NA, 2021/07/17 07:50,2021/7/22 19:12
 OOCL SHANGHAI,OOC, 060N / 061S, A3N,OSA,NA, 2021/07/13 15:17,2021/7/22 19:12
 NEW MINGZHOU 68,OOC, 2119E / 2119E, PCHN,OSA,NA, 2021/07/16 20:37,2021/7/22 19:12
 GLORY TIANJIN,OOC, 2128S / 2128S, PJPN,OSA,NA, 2021/07/13 07:10,2021/7/22 19:12
 OOCL LE HAVRE,OOC, 145N / 146S, KTX2,OSA,NA, 2021/07/15 17:28,2021/7/22 19:12
 WAN HAI 510,OOC, N142 / S143, KTX6,OSA,NA, 2021/07/16 18:55,2021/7/22 19:12
 EVER UNIFIC,OOC, 0319-159W / 0319-159W, PNW3,OSA,NA, 2021/07/17 07:50,2021/7/22 19:12
 OOCL SHANGHAI,OOC, 060N / 061S, A3N,OSA,NA, 2021/07/13 15:17,2021/7/22 19:12
 NEW MINGZHOU 68,OOC, 2119E / 2119E, PCHN,OSA,NA, 2021/07/16 20:37,2021/7/22 19:12
 GLORY FORTUNE,OOC, 2129S / 2129S, PJPN,OSA,NA, 2021/07/19 07:02,2021/7/22 19:12
 KETA,OOC, 037N / 038S, KTX1,OSA,NA, 2021/07/20 12:42,2021/7/22 19:12
 EVER SUMMIT,OOC, 0322-099W / 0322-099W, PNW3,OSA,NA, 2021/07/23 17:00,2021/7/22 19:13
 WAN HAI 506,OOC, N196 / S197, KTX6,OSA,NA, 2021/07/24 17:00,2021/7/22 19:13
 NEW MINGZHOU 66,OOC, 2120E / 2120E, PCHN,OSA,NA, 2021/07/19 07:37,2021/7/22 19:13
 NEW MINGZHOU 28,OOC, 2119E / 2119E, PCHN,OSA,NA, 2021/07/20 14:21,2021/7/22 19:13
 CMA CGM CHOPIN,OOC, 117N / 118S, A3N,OSA,NA, 2021/07/19 12:47,2021/7/22 19:13
 GLORY FORTUNE,OOC, 2129S / 2129S, PJPN,OSA,NA, 2021/07/19 07:02,2021/7/22 19:13
 KETA,OOC, 037N / 038S, KTX1,OSA,NA, 2021/07/20 12:42,2021/7/22 19:13
 EVER SUMMIT,OOC, 0322-099W / 0322-099W, PNW3,OSA,NA, 2021/07/23 17:00,2021/7/22 19:13
 WAN HAI 506,OOC, N196 / S197, KTX6,OSA,NA, 2021/07/24 17:00,2021/7/22 19:13
 NEW MINGZHOU 66,OOC, 2120E / 2120E, PCHN,OSA,NA, 2021/07/19 07:37,2021/7/22 19:13
 NEW MINGZHOU 28,OOC, 2119E / 2119E, PCHN,OSA,NA, 2021/07/20 14:21,2021/7/22 19:13
 CMA CGM CHOPIN,OOC, 117N / 118S, A3N,OSA,NA, 2021/07/19 12:47,2021/7/22 19:13
 NEW MINGZHOU 28,OOC, 2120E / 2120E, PCHN,OSA,NA, 2021/07/26,2021/7/22 19:13
 YM CONTINENT,OOC, 021N / 021N, JMV,OSA,NA, 2021/07/27 08:00,2021/7/22 19:13
 WAN HAI 501,OOC, N214 / S215, KTX6,OSA,NA, 2021/07/31,2021/7/22 19:13
 E.R. DENMARK,OOC, 117N / 118S, A3N,OSA,NA, 2021/08/01,2021/7/22 19:13
 HE SHENG,OOC, 2130S / 2130S, PJPN,OSA,NA, 2021/07/26,2021/7/22 19:13
 NEW MINGZHOU 16,OOC, 2120E / 2120E, PCHN,OSA,NA, 2021/07/27 08:00,2021/7/22 19:13
 CAPE ORIENT,OOC, 104N / 105S, KTX1,OSA,NA, 2021/08/01 08:00,2021/7/22 19:13
 OOCL NAGOYA,OOC, 153N / 154S, KTX2,OSA,NA, 2021/07/26 08:00,2021/7/22 19:13
 OOCL CHARLESTON,OOC, 202N / 203S, KTX2,OSA,NA, 2021/07/27 13:00,2021/7/22 19:13
 SPECTRUM N,OOC, 015N / 016S, KTX2,OSA,NA, 2021/07/27 19:00,2021/7/22 19:13
 NEW MINGZHOU 28,OOC, 2120E / 2120E, PCHN,OSA,NA, 2021/07/26,2021/7/22 19:13
 YM CONTINENT,OOC, 021N / 021N, JMV,OSA,NA, 2021/07/27 08:00,2021/7/22 19:13
 WAN HAI 501,OOC, N214 / S215, KTX6,OSA,NA, 2021/07/31,2021/7/22 19:13
 E.R. DENMARK,OOC, 117N / 118S, A3N,OSA,NA, 2021/08/01,2021/7/22 19:13
 HE SHENG,OOC, 2130S / 2130S, PJPN,OSA,NA, 2021/07/26,2021/7/22 19:13
 NEW MINGZHOU 16,OOC, 2120E / 2120E, PCHN,OSA,NA, 2021/07/27 08:00,2021/7/22 19:13
 CAPE ORIENT,OOC, 104N / 105S, KTX1,OSA,NA, 2021/08/01 08:00,2021/7/22 19:13
 OOCL NAGOYA,OOC, 153N / 154S, KTX2,OSA,NA, 2021/07/26 08:00,2021/7/22 19:13
 OOCL CHARLESTON,OOC, 202N / 203S, KTX2,OSA,NA, 2021/07/27 13:00,2021/7/22 19:13
 SPECTRUM N,OOC, 015N / 016S, KTX2,OSA,NA, 2021/07/27 19:00,2021/7/22 19:13
 OOCL DALIAN,OOC, 662N / 663S, KTX6,OSA,NA, 2021/08/02,2021/7/22 19:13
 OOCL LE HAVRE,OOC, 146N / 147S, KTX2,OSA,NA, 2021/08/03 19:00,2021/7/22 19:13
 APL SCOTLAND,OOC, 073N / 074S, A3N,OSA,NA, 2021/08/04,2021/7/22 19:14
 THORSTAR,OOC, 010N / 010N, JMV,OSA,NA, 2021/08/05,2021/7/22 19:14
 KMTC YOKOHAMA,OOC, 006N / 006N, JMV,OSA,NA, 2021/08/07,2021/7/22 19:14
 DELAWARE TRADER,OOC, 032N / 033S, KTX1,OSA,NA, 2021/08/08,2021/7/22 19:14
 EVER SMART,OOC, 0323-112W / 0323-112W, PNW3,OSA,NA, 2021/08/08,2021/7/22 19:14
 HE SHENG,OOC, 2127S / 2127S, PJPN,OBE,NA, 2021/07/05 07:55,2021/7/22 19:14
 XIN MING ZHOU 18,OOC, 2107E / 2107E, PCHN,OBE,NA, 2021/07/07 16:27,2021/7/22 19:14
 NYK DIANA,OOC, 096N / 097S, KTX5,OBE,NA, 2021/07/08 07:48,2021/7/22 19:14
 NYK DEMETER,OOC, 095N / 096S, KTX5,OBE,NA, 2021/07/09 07:50,2021/7/22 19:14
 MAERSK GARONNE,OOC, 118S / 118S, JKN,OBE,NA, 2021/07/10 07:51,2021/7/22 19:14
 BUXMELODY,OOC, 159N / 160S, KTX1,OBE,NA, 2021/07/11 14:46,2021/7/22 19:14
 OOCL CHARLESTON,OOC, 201N / 202S, KTX2,OBE,NA, 2021/07/06 07:47,2021/7/22 19:14
 THORSTAR,OOC, 009N / 009N, JMV,OBE,NA, 2021/07/08 07:22,2021/7/22 19:14
 KMTC YOKOHAMA,OOC, 005N / 005N, JMV,OBE,NA, 2021/07/09 08:12,2021/7/22 19:14
 DELAWARE TRADER,OOC, 031N / 032S, KTX1,OBE,NA, 2021/07/10 07:48,2021/7/22 19:14
 OOCL DALIAN,OOC, 661N / 662S, KTX6,OBE,NA, 2021/07/06 17:28,2021/7/22 19:14
 NYK VIRGO,OOC, 070W / 070W, JPX,OBE,NA, 2021/07/10 09:19,2021/7/22 19:14
 NEW MINGZHOU 68,OOC, 2118E / 2118E, PCHN,OBE,NA, 2021/07/06 19:14,2021/7/22 19:14
 ONE HUMBER,OOC, 087E / 087E, JPX,OBE,NA, 2021/07/12 20:17,2021/7/22 19:14
 GLORY TIANJIN,OOC, 2128S / 2128S, PJPN,OBE,NA, 2021/07/13 19:36,2021/7/22 19:14
 OOCL LE HAVRE,OOC, 145N / 146S, KTX2,OBE,NA, 2021/07/15 07:55,2021/7/22 19:14
 SEASPAN EMERALD,OOC, 253N / 254S, KTX5,OBE,NA, 2021/07/16 07:34,2021/7/22 19:14
